,NO.,FirstName,LastName,POS,AGE,HT,WT,COLLEGE,2015-2016 SALARY,Team
76,24,Richard,Jefferson,SF,35,7-Jun,233,Arizona,"$947,276 ",CLE
77,1,James,Jones,SG,35,8-Jun,218,Miami (FL),"$947,276 ",CLE
78,14,Sasha,Kaun,C,30,11-Jun,260,Kansas,"$1,276,000 ",CLE
79,0,Kevin,Love,PF,27,10-Jun,251,UCLA,"$19,689,000 ",CLE
80,20,Timofey,Mozgov,C,29,1-Jul,275, ,"$4,950,000 ",CLE
81,4,Iman,Shumpert,SG,25,5-Jun,220,Georgia Tech,"$8,988,765 ",CLE
82,5,J.R.,Smith,SG,30,6-Jun,225, ,"$5,000,000 ",CLE
83,13,Tristan,Thompson,C,24,9-Jun,238,Texas,"$14,260,870 ",CLE
84,52,Mo,Williams,PG,33,1-Jun,198,Alabama,"$2,100,000 ",CLE
85,1,Justin,Anderson,SG,22,6-Jun,228,Virginia,"$1,449,000 ",DAL
86,5,J.J.,Barea,PG,31,Jun-00,185,Northeastern,"$4,290,000 ",DAL
87,21,Jeremy,Evans,SF,28,9-Jun,200,Western Kentucky,"$1,100,602 ",DAL
88,2,Raymond,Felton,PG,31,1-Jun,205,North Carolina,"$3,950,313 ",DAL
89,34,Devin,Harris,PG,33,3-Jun,185,Wisconsin,"$4,053,446 ",DAL
90,42,David,Lee,PF,32,9-Jun,245,Florida,"$15,493,680 ",DAL
91,23,Wesley,Matthews,SG,29,5-Jun,220,Marquette,"$16,407,500 ",DAL
92,11,JaVale,McGee,C,28,Jul-00,270,Nevada,"$1,270,964 ",DAL
93,50,Salah,Mejri,C,29,2-Jul,245, ,"$525,093 ",DAL
94,41,Dirk,Nowitzki,PF,37,Jul-00,245, ,"$8,333,334 ",DAL
95,27,Zaza,Pachulia,C,32,11-Jun,275, ,"$5,200,000 ",DAL
96,25,Chandler,Parsons,SF,27,10-Jun,230,Florida,"$15,361,500 ",DAL
97,7,Dwight,Powell,PF,24,11-Jun,240,Stanford,"$845,059 ",DAL
98,3,Charlie,Villanueva,PF,31,11-Jun,232,Connecticut,"$947,276 ",DAL
99,8,Deron,Williams,PG,31,3-Jun,200,Illinois,"$5,378,974 ",DAL
100,0,Darrell,Arthur,PF,27,9-Jun,235,Kansas,"$2,814,000 ",DEN
101,12,D.J.,Augustin,PG,28,Jun-00,183,Texas,"$3,000,000 ",DEN
102,5,Will,Barton,SF,25,6-Jun,175,Memphis,"$3,533,333 ",DEN
103,21,Wilson,Chandler,SF,28,8-Jun,225,DePaul,"$10,449,438 ",DEN
104,35,Kenneth,Faried,PF,26,8-Jun,228,Morehead State,"$11,235,955 ",DEN
105,8,Danilo,Gallinari,SF,27,10-Jun,225, ,"$14,000,000 ",DEN
106,14,Gary,Harris,SG,21,4-Jun,210,Michigan State,"$1,584,480 ",DEN
107,15,Nikola,Jokic,C,21,10-Jun,250, ,"$1,300,000 ",DEN
108,77,Joffrey,Lauvergne,C,24,11-Jun,220, ,"$1,709,719 ",DEN
109,3,Mike,Miller,SG,36,8-Jun,218,Florida,"$947,276 ",DEN
110,0,Emmanuel,Mudiay,PG,19,5-Jun,200, ,"$3,102,240 ",DEN
111,1,Jameer,Nelson,PG,34,Jun-00,190,Saint Joseph's,"$4,345,000 ",DEN
112,23,Jusuf,Nurkic,C,21,Jul-00,280, ,"$1,842,000 ",DEN
113,9,JaKarr,Sampson,SG,22,9-Jun,214,St. John's,"$258,489 ",DEN
114,50,Joel,Anthony,C,33,9-Jun,245,UNLV,"$2,500,000 ",DET
115,12,Aron,Baynes,C,29,10-Jun,260,Washington State,"$6,500,000 ",DET
116,22,Steve,Blake,PG,36,3-Jun,172,Maryland,"$2,170,465 ",DET
117,25,Reggie,Bullock,SF,24,7-Jun,205,North Carolina,"$1,252,440 ",DET
118,5,Kentavious,Caldwell-Pope,SG,23,5-Jun,205,Georgia,"$2,891,760 ",DET
119,8,Spencer,Dinwiddie,PG,22,6-Jun,200,Colorado,"$845,059 ",DET
